name,team,position,signed,extended,age at signing/extension,offseason_of_new_contract,new_contract_AAV,games_played,minutes,pts,fgm,fga,fgperc,3pm,3pa,3pperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,pf,tsperc,usage,bs_rap_o,bs_rap_d,bs_rap_t,onoff_rap_o,onoff_rap_d,onoff_rap_t,ovr_rap_o,ovr_rap_d,ovr_rap_t,rap_war
Jusuf Nurkic,Portland Trailblazers,C,1,0,24,2018,12000000,79,26.4,14.3,6.1,12,50.5,0,0.1,0,2.2,3.5,63,2.4,6.6,9,1.8,2.3,0.8,1.4,3.1,52.8,25.7,-2.3,2.5,0.2,-1.6,2.2,0.6,-2.3,2.6,0.2,3.2
Justise Winslow,Portland Trailblazers,PF,1,0,25,2021,4000000,26,19.5,6.8,2.8,8.1,35.2,0.4,2.1,18.5,0.8,1.3,57.1,0.7,3.8,4.5,1.9,1.4,0.6,0.5,1.8,39.5,21.2,-6.5,1.8,-4.6,-6.4,2.4,-3.9,-6.8,2.1,-4.8,-0.5
Ben McLemore,Portland Trailblazers,SG,1,0,28,2021,2389641,53,17.1,7.7,2.5,6.9,37,1.8,5.3,34.6,0.7,1,73.6,0.3,1.6,1.9,0.7,0.8,0.4,0.2,1.7,52.3,19.2,-1,-3.1,-4.2,-1.6,1,-0.6,-1.2,-2.5,-3.6,-0.4
Anfernee Simons,Portland Trailblazers,SG,1,0,23,2022,25000000,57,29.5,17.3,6.2,14,44.3,3.1,7.8,40.5,1.8,2,88.8,0.5,2.2,2.6,3.9,2,0.5,0.1,1.9,58.3,24.4,1.8,-3.1,-1.3,2.7,0.7,3.3,2.2,-2.5,-0.3,2.1
Drew Eubanks,Portland Trailblazers,PF,1,0,25,2022,1968175,71,17.5,7.7,3.1,5.2,59.6,0.1,0.3,21.7,1.4,1.8,76.2,1.8,3.5,5.4,1.2,1.1,0.4,0.6,1.7,63.8,17.1,-2.3,-1,-3.4,-2.6,-3.6,-6.2,-2.5,-1.6,-4.1,-0.9
Nassir Little,Portland Trailblazers,SF,0,1,22,2022,7000000,42,25.9,9.8,3.5,7.5,46,1.2,3.7,33.1,1.6,2.2,73.4,1.4,4.2,5.6,1.3,1,0.6,0.9,2,57.5,15.5,-0.3,0.9,0.7,1.2,1.9,3.1,0,1.3,1.3,2.2
De'Aaron Fox,Sacramento Kings,PG,0,1,22,2020,32600060,51,32,21.1,7.7,16,48,1.1,3.6,29.2,4.7,6.7,70.5,0.7,3.2,3.8,6.8,3.1,1.5,0.5,2.8,55.8,29,2.4,-1.4,1,2.1,-4.2,-2.1,2.5,-2,0.4,2.7
Harrison Barnes,Sacramento Kings,SF,1,0,27,2019,21250000,77,32.9,16.4,5.6,13.3,42,2.3,5.7,39.5,3,3.6,82.4,0.7,3.9,4.7,1.5,1.3,0.6,0.2,1.6,55,20.2,-0.8,-0.6,-1.4,-1.2,0.6,-0.6,-0.9,-0.4,-1.3,1.9
Domantas Sabonis,Sacramento Kings,C,0,1,23,2019,18725000,74,24.8,14.1,5.6,9.5,59,0.1,0.2,52.9,2.8,3.9,71.5,2.5,6.8,9.3,2.9,2.2,0.6,0.4,3.2,63,22.6,1.3,0.2,1.5,0.4,0.9,1.4,1.2,0.3,1.5,4
Jeremy Lamb,Sacramento Kings,SG,1,0,27,2019,10500000,79,28.5,15.3,5.5,12.4,44,1.5,4.2,34.8,2.9,3.3,88.8,0.8,4.7,5.5,2.2,1,1.1,0.4,1.8,55.2,22,1.8,1,2.7,0.1,1.4,1.5,1.5,1.1,2.7,6.2
Richaun Holmes,Sacramento Kings,C,1,0,28,2021,11630640,61,29.2,14.2,6,9.4,63.7,0,0.2,18.2,2.2,2.8,79.4,2.4,5.9,8.3,1.7,1.2,0.6,1.6,3.5,66.9,17.3,-0.5,1.8,1.4,2.7,1.4,4.1,0.2,1.9,2.1,4.4
Justin Holiday,Sacramento Kings,SG,1,0,31,2020,6006420,73,25,8.3,2.8,6.7,42.8,1.8,4.5,40.5,0.7,0.9,79.1,0.4,2.8,3.3,1.3,0.6,1.2,0.6,1.9,58.5,13,0.2,2.7,2.9,-0.4,-0.7,-1.1,0.1,2.1,2.2,4.6
Josh Jackson,Sacramento Kings,SF,1,0,23,2020,4886175,22,17.3,9,3.2,7.2,44,1,3.3,31.9,1.6,2.3,70,0.5,2.5,3,1.6,1.3,0.8,0.4,1.8,54.7,21.4,0,3,3,0.2,1.7,1.9,0.1,2.9,3,1.1
Mo Harkless,Sacramento Kings,SF,1,0,28,2021,4456290,37,20.9,5.2,1.9,4.5,41.8,0.6,2.3,27.4,0.9,1.2,76.7,0.4,2.1,2.4,1.2,0.6,0.8,0.5,2.3,52.7,11.4,-3.1,-1.3,-4.4,-1.1,0.5,-0.5,-2.9,-1,-3.8,-0.4
Terence Davis,Sacramento Kings,SG,1,0,24,2021,4000000,61,17.6,8.7,3.2,7.5,42.8,1.6,4.4,36.7,0.7,0.9,81.8,0.3,2.2,2.5,1.4,1,0.7,0.2,1.6,55.5,21.3,0.2,-2.3,-2.2,-2.9,0.4,-2.5,-0.5,-1.9,-2.4,0.2
Alex Len,Sacramento Kings,C,1,0,28,2021,3825300,64,15.3,6.6,2.7,4.3,61.5,0.1,0.4,32,1.1,1.8,62.9,1.2,2.8,4.1,0.8,0.9,0.3,1,2,64.3,16.1,-2.6,1.4,-1.2,-2.4,-0.7,-3.1,-2.8,1.1,-1.7,0.5
Trey Lyles,Sacramento Kings,PF,1,0,26,2021,2562500,23,15.6,5,1.9,3.9,47.8,0.6,1.7,35,0.7,1,65.2,0.4,3.3,3.7,0.6,0.3,0.3,0,0.6,57.4,12.8,-2.4,-0.4,-2.8,-8,-2.3,-10.3,-3.7,-0.8,-4.5,-0.3
Matthew Dellavedova,Sacramento Kings,PG,1,0,31,2022,2628597,13,17.2,2.8,1.1,4.3,25,0.3,1.9,16,0.3,0.3,100,0.5,1.4,1.8,4.5,0.5,0.3,0.1,1.6,31.2,12.5,-2.1,-4.8,-6.9,1.8,-1.6,0.3,-1.4,-4.4,-5.8,0.3
Dejounte Murray,San Antonio Spurs,PG,0,1,23,2019,16000000,81,21.5,8.1,3.3,7.5,44.3,0.1,0.4,26.5,1.3,1.8,70.9,1.4,4.3,5.7,2.9,1.7,1.2,0.4,1.9,48.5,20.1,-2,2.4,0.5,-2.3,5.4,3.1,-2.1,3.1,1,3.3
Doug McDermott,San Antonio Spurs,SF,1,0,30,2021,13750000,66,24.5,13.6,5.4,10.1,53.2,1.7,4.3,38.8,1.2,1.5,81.6,0.9,2.4,3.3,1.3,0.8,0.3,0.1,1.8,63.5,19.4,0.5,-3.4,-2.9,0.5,-3.4,-2.9,0.5,-3.6,-3.1,-0.3
Josh Richardson,San Antonio Spurs,SG,0,1,28,2021,12200000,59,30.3,12.1,4.5,10.5,42.7,1.5,4.5,33,1.7,1.8,91.7,0.9,2.4,3.3,2.6,1.3,1,0.4,2.2,53.7,18.1,-0.6,-0.3,-0.9,-1,-2.7,-3.6,-0.8,-0.8,-1.6,1.1
Jakob Poeltl,San Antonio Spurs,C,1,0,25,2020,8750000,66,17.7,5.6,2.5,4,62.4,0,0,0,0.6,1.3,46.5,2,3.7,5.7,1.8,0.8,0.6,1.4,1.9,61.2,12.5,-0.4,3.4,3,5.4,0.4,5.8,0.8,3,3.8,3.9
Zach Collins,San Antonio Spurs,C,1,0,24,2021,7350000,11,26.4,7,2.9,6.2,47.1,0.6,1.7,36.8,0.5,0.7,75,2.3,4,6.3,1.5,1.3,0.5,0.5,3.3,53.8,12.6,-3.4,-0.1,-3.5,-1.8,0.2,-1.6,-3.3,0,-3.3,-0.1
Keita Bates-Diop,San Antonio Spurs,PF,1,0,26,2021,1803969,30,8.2,2.6,1,2.2,44.8,0.2,0.6,29.4,0.5,0.7,66.7,0.3,1.3,1.6,0.4,0.2,0.4,0.2,0.4,51.8,14.4,-1.4,1.3,-0.1,-4.1,-2.5,-6.6,2,0.6,-1.4,0.2
Keldon Johnson,San Antonio Spurs,SF,0,1,22,2022,18500000,75,31.9,17,6.3,13.5,46.6,2.1,5.3,39.8,2.4,3.1,75.6,1.1,5,6.1,2.1,1.2,0.8,0.2,2,57.4,21,0.8,-0.3,0.5,3.1,-0.6,2.5,1.3,-0.4,0.9,4.5
Khem Birch,San Antonio Spurs,C,1,0,30,2022,"6,667,500",55,18,4.5,1.8,3.6,50,0,0,0,1,1.3,74.6,2.2,2.1,4.3,1,0.5,0.5,0.5,1.9,54,12,-0.5,0.3,-0.2,-0.3,-3.9,-4.3,-0.5,-0.6,-1.1,0.7
Devin Vassell,San Antonio Spurs,SG,0,1,25,2022,4646375,71,27.3,12.3,4.6,10.8,42.7,1.9,5.4,36.1,1.2,1.4,83.8,3.7,4.3,8,1.9,0.8,1.1,0.6,2,54,18,2.5,-3.2,-0.7,1.3,-1.4,-0.1,2.4,-3,-0.6,1
Pascal Siakam,Toronto Raptors,PF,0,1,25,2019,34226304,80,31.8,16.9,6.5,11.8,54.9,1,2.7,36.9,3,3.8,78.5,1.6,5.3,6.9,3.1,1.9,0.9,0.7,3,62.8,20.5,1.1,0.5,1.6,3.7,4.1,7.8,1.6,1.2,2.9,7.3
Fred VanVleet,Toronto Raptors,PG,1,0,26,2020,21250000,54,35.7,17.6,5.9,14.3,41.3,2.7,6.9,39,3.1,3.7,84.8,0.3,3.4,3.8,6.6,2.2,1.9,0.3,2.4,55.3,21.8,2.3,1,3.3,-0.7,1.1,0.4,1.8,1,2.8,5.4
Gary Trent Jr. ,Toronto Raptors,SG,1,0,23,2021,17280000,58,31.1,15.3,5.5,13.5,40.8,2.8,7.4,38.5,1.4,1.8,78.3,0.5,2.2,2.6,1.4,0.7,1,0.2,1.6,53.4,20.4,-0.1,-2.3,-2.4,-0.5,-3.2,-3.7,-0.2,-2.6,-2.8,0
OG Anunoby,Toronto Raptors,SF,0,1,23,2020,18000000,69,29.9,10.6,4.1,8.2,50.5,1.3,3.3,39,1,1.5,70.6,1.2,4.1,5.3,1.6,1.1,1.4,0.7,2.4,60,14.2,-1.4,2.2,0.8,1.8,-0.2,1.6,-0.8,1.8,1,3.9
Thaddeus Young,Toronto Raptors,PF,1,0,31,2019,14545000,81,30.7,12.6,5.5,10.4,52.7,0.6,1.8,34.9,1.1,1.7,64.4,2.4,4.1,6.5,2.5,1.5,1.5,0.4,2.4,56.9,17.9,0.3,2.2,2.5,1.9,-0.8,1,0.6,1.7,2.3,6.4
Chris Boucher,Toronto Raptors,PF,1,0,27,2020,6760000,62,13.2,6.6,2.3,4.8,47.2,0.6,1.9,32.2,1.5,1.9,78.4,1.7,2.7,4.5,0.4,0.5,0.4,1,1.8,58.7,18.5,2,2.3,4.3,1.7,0.6,2.3,2.1,1.9,4,2.8
Khem Birch,Toronto Raptors,C,1,0,29,2021,6667500,67,22.8,7.2,2.8,5.7,49.7,0.2,0.8,25,1.4,1.9,70.5,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,55.2,13.3,-1.8,1.9,0.1,-0.5,1,0.5,-1.6,1.9,0.3,2.3
Svi Mykhailiuk,Toronto Raptors,SG,1,0,24,2021,1803969,66,20.1,8.5,3.2,7.7,41.1,1.6,4.8,33.4,0.6,0.8,76,0.4,2.1,2.5,1.7,1.3,0.8,0.2,1,52.9,19,-2,-1.3,-3.3,-0.6,-1.1,-1.7,-1.7,-1.3,-3,-0.1
Isaac Bonga,Toronto Raptors,PG,1,0,22,2021,1729217,40,10.8,2,0.8,2,37,0.3,1.2,27.7,0.1,0.2,62.5,0.5,1.2,1.7,0.6,0.6,0.3,0.2,1.6,46.1,10.1,-5.2,1.7,-3.5,-5.2,5,-0.2,-5.5,2.5,-3,-0.1
Rudy Gobert,Utah Jazz,C,0,1,28,2020,41000000,68,34.3,15.1,5.7,8.2,69.3,0,0,0,3.7,5.9,63,3.4,10.1,13.5,1.5,1.9,0.8,2,3.2,69.9,16.2,-0.7,6.8,6,1.3,3.8,5.1,-0.4,6.6,6.2,10.6
Donavan Mitchell,Utah Jazz,SG,0,1,24,2020,32600000,69,34.3,24,8.7,19.4,44.9,2.5,6.9,36.6,4,4.7,86.3,0.8,3.6,4.4,4.3,2.7,1,0.2,2.5,55.8,30.3,2.7,-1.9,0.8,0.7,-1.7,-1.1,2.4,-2,0.4,3.8
Mike Conley,Utah Jazz,PG,1,0,34,2021,22680000,51,29.4,16.2,5.6,12.5,44.4,2.7,6.6,41.2,2.4,2.8,85.2,0.7,2.8,3.5,6,1.9,1.4,0.2,1.9,58.9,22.4,4,3.2,7.2,2.2,6,8.2,3.8,4,7.7,8
Bojan Bogdanovic,Utah Jazz,PF,1,0,30,2019,18275000,81,31.8,18,6.4,13,49.7,2,4.8,42.5,3,3.8,80.7,0.4,3.7,4.1,2,1.7,0.9,0,1.7,61.3,21.9,0.7,-0.6,0.1,0.4,0.6,1,0.6,-0.4,0.3,4
Jordan Clarkson,Utah Jazz,PG,1,0,28,2020,12880000,71,24,15.2,5.5,12.2,45.4,2.1,5.8,36.8,1.9,2.3,83.6,0.7,1.9,2.6,1.9,1.4,0.6,0.2,1.5,57.4,25.4,2.9,-1.8,1.2,1.7,-1,0.7,2.8,-1.7,1.1,3.3
Royce O'Neale,Utah Jazz,SF,0,1,27,2020,9000000,71,28.9,6.3,2.2,5.1,43.3,1.3,3.4,37.7,0.6,0.8,76.4,0.4,5.1,5.5,2.5,0.9,0.8,0.5,2.8,57.8,9.5,-0.5,1.9,1.4,3.2,0.9,4.2,0.3,1.8,2.1,5
Juancho Hernangomez,Utah Jazz,SF,1,0,25,2020,7012440,48,17.4,6,2.1,5.1,40.5,0.9,2.7,34.1,0.9,1.5,62,0.9,3.2,4.1,0.8,0.7,0.4,0.2,1.3,51.8,14.9,-1.1,0.4,-0.7,1.1,-2.2,-1.1,-0.7,-0.1,-0.8,0.8
Rudy Gay,Utah Jazz,PF,1,0,35,2021,6184500,63,21.6,11.4,4.2,10,42,1.7,4.4,38.1,1.3,1.6,80.4,0.7,4.1,4.8,1.4,1,0.7,0.6,1.8,53.2,23,-0.5,2.2,1.8,-1.1,6.9,5.8,-0.6,3.3,2.7,3.8
Hassan Whiteside,Utah Jazz,C,1,0,32,2021,2401537,36,15.2,8.1,3.5,6.2,56.3,0,0,0,1.1,2.2,51.9,1.7,4.3,6,0.6,1.1,0.3,1.3,2,56.6,22.7,-4.5,0.9,-3.6,-4,-0.2,-4.2,-4.7,0.8,-3.9,-0.3
Collin Sexton,Utah Jazz,PG,1,0,23,2022,17737500,60,35.3,24.3,8.8,18.4,47.5,1.6,4.4,37.1,5.2,6.4,81.5,1,2.2,3.1,4.4,2.8,1,0.2,2.6,57.3,28.6,0.6,-2.7,-2.1,-1.3,-3.1,-4.4,0.4,-2.9,-2.5,0.3
Bradley Beal,Washington Wizards,SG,0,1,26,2019,35073168,82,36.9,25.6,9.3,19.6,47.5,2.5,7.3,35.1,4.4,5.5,80.8,1.1,3.9,5,5.5,2.7,1.5,0.7,2.8,58.1,27.8,4,-0.4,3.6,4.2,-3.1,1.1,4.3,-0.9,3.4,9.6
Kristaps Porzingis,Washington Wizards,C,1,0,24,2019,31650000,48,32.4,22.7,8.1,18.5,43.9,1.9,4.8,39.5,4.5,5.7,79.3,1.3,5.3,6.6,1.2,1.9,0.8,2.4,2.9,53.9,30.5,0.8,1.7,2.5,0.7,2.1,2.8,0.8,2,2.8,4.4
Kentavious Caldwell-Pope,Washington Wizards,SG,1,0,27,2020,13038862,69,25.5,9.3,3.4,7.3,46.7,1.3,3.5,38.5,1.1,1.5,77.5,0.6,1.5,2.1,1.6,0.9,0.8,0.2,1.9,58.4,14.2,-0.4,-0.1,-0.5,0.1,-0.7,-0.6,-0.3,-0.3,-0.6,1.9
Kyle Kuzma,Washington Wizards,PF,0,1,25,2020,13000000,61,25,12.8,4.8,11,43.6,1.4,4.5,31.6,1.9,2.5,73.5,0.9,3.6,4.5,1.3,1.5,0.5,0.4,2.1,53.1,22.1,-2.1,0,-2.1,-0.5,0.1,-0.4,-1.9,-0.1,-2,0.6
Thomas Bryant,Washington Wizards,C,1,0,22,2019,8333333,72,20.8,10.5,4.3,7,61.6,0.5,1.4,33.3,1.5,1.9,78.1,1.6,4.7,6.3,1.3,0.8,0.3,0.9,1.8,67.4,17,0.2,-1.6,-1.4,0.5,-1.9,-1.4,0.2,-1.7,-1.5,1
Ish Smith,Washington Wizards,PG,1,0,33,2021,4612500,44,21,6.7,2.9,6.8,43.4,0.4,1.1,36.7,0.4,0.8,57.6,0.5,2.9,3.4,3.9,0.9,0.7,0.3,1.4,47.3,15.5,-0.8,0.3,-0.5,1.7,0.1,1.7,-0.3,0.2,-0.1,1.3
Daniel Gafford,Washington Wizards,C,0,1,23,2021,13394160,54,14.7,7,2.9,4.2,68.4,0,0,0,1.3,2,66.7,1.7,2.5,4.3,0.5,0.8,0.5,1.4,1.8,69.7,16.1,0.7,1.7,2.4,2.1,0.7,2.8,1,1.6,2.6,2.2
Raul Neto,Washington Wizards,PG,1,0,29,2021,2089448,64,21.9,8.7,3.3,7,46.8,1,2.6,39,1.2,1.3,88.2,0.4,2,2.4,2.3,0.8,1.1,0.1,1.7,57.5,15.5,-0.1,2.5,2.4,-0.1,1.3,1.2,-0.1,2.4,2.3,3.6
Anthony Gill,Washington Wizards,PF,1,0,29,2022,1916664,44,10.5,4.1,1.4,2.5,56.9,0.3,0.6,53.8,1,1.2,80.8,0.8,1.2,1.9,0.6,0.4,0.1,0.3,1.3,68.2,13.8,-0.1,-1.4,-1.6,2.8,3,5.8,0.5,-0.6,-0.1,0.6
