name,team,position,signed,extended,age at signing/extension,offseason_of_new_contract,new_contract_AAV,games_played,minutes,pts,fgm,fga,fgperc,3pm,3pa,3pperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,pf,tsperc,usage,bs_rap_o,bs_rap_d,bs_rap_t,onoff_rap_o,onoff_rap_d,onoff_rap_t,ovr_rap_o,ovr_rap_d,ovr_rap_t,rap_war
Jordan McLaughlin,Minnesota Timberwolves,PG,1,0,24,2021,2160000,51,18.4,5,2,4.7,41.3,0.6,1.8,35.9,0.5,0.6,76.7,0.4,1.7,2.1,3.8,1,1,0.1,0.9,50.2,13.3,-1,-0.5,-1.5,-4.6,2.3,-2.2,-1.8,0.1,-1.7,0.5
Nathan Knight,Minnesota Timberwolves,PF,1,0,24,2022,1916664,37,7.2,3.7,1.2,2.4,51.1,0.1,0.4,30.8,1.2,1.6,73.3,0.9,1.4,2.3,0.6,0.5,0.2,0.2,1.1,60.3,20.3,0.2,0.8,1,-3.6,5.3,1.6,-0.6,1.7,1.1,0.5
Josh Okogie,Minnesota Timberwolves,SF,1,0,23,2022,1968175,49,10.5,2.7,0.9,2.1,40.4,0.3,1,29.8,0.7,1,68.6,0.6,0.8,1.4,0.5,0.5,0.5,0.2,1.1,52.6,11.5,-3.3,6,2.7,-5.7,4.9,-0.9,-4,0.1,2.1,1.3
CJ McCollum,New Orleans Pelicans,SG,0,1,29,2017,26658362,80,34.9,23,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,58.5,26.8,3.6,-1.2,2.4,1.7,-0.5,1.2,3.4,-1.1,2.3,7.2
Brandon Ingram,New Orleans Pelicans,SF,1,0,23,2020,31650600,62,33.9,23.8,8.2,17.7,46.3,2.4,6.2,39.1,5,5.9,85.1,0.8,5.3,6.1,4.2,3,1,0.6,2.9,58.7,27.5,2.1,-1.3,0.8,-0.7,-0.3,-1,1.6,-1.1,0.5,3.5
Jonas Valenciunas,New Orleans Pelicans,C,0,1,27,2019,15000000,49,22.3,15.6,6.1,11,55.9,0.3,1,29.2,3,3.8,79.5,2.2,6.4,8.6,1.4,1.8,0.4,1.1,3,61.6,27.4,0.9,1.4,2.3,-0.7,-0.8,-1.6,0.6,1,1.6,2.4
Devonte Graham,New Orleans Pelicans,PG,1,0,26,2021,11825000,55,30.2,14.8,4.6,12.2,37.7,3.3,8.7,37.5,2.4,2.9,84.2,0.4,2.3,2.7,5.4,1.5,0.9,0.1,1.4,55.2,21.1,2.3,-0.3,2.1,-0.9,3.8,2.8,1.8,0.6,2.4,4.3
Larry Nance Jr,New Orleans Pelicans,PF,0,1,27,2019,11200000,67,26.8,9.4,3.7,7.1,52,0.5,1.5,33.7,1.4,2,71.6,2.5,5.7,8.2,3.2,1.4,1.5,0.6,2.9,58.3,15.2,-0.1,2.3,2.2,0.5,0.5,0.9,0,2.2,2.2,4.5
Garrett Temple,New Orleans Pelicans,SG,1,0,35,2021,5155500,56,27.3,7.6,2.8,6.8,41.5,1.2,3.6,33.5,0.7,0.9,80,0.5,2.3,2.9,2.2,1,0.8,0.5,2.3,52.5,12.6,-2.2,1.5,-0.7,1.1,2.6,3.7,-1.6,1.9,0.2,2.3
Willy Hernangomez,New Orleans Pelicans,C,1,0,26,2021,2443581,47,18,7.8,3.2,5.7,56.3,0,0.2,10,1.3,2,66.7,2.5,4.6,7.1,1.1,0.7,0.5,0.5,1.4,59.1,16.6,-0.7,0.8,0.1,0.6,-1.2,-0.6,-0.5,0.5,0,1.2
Tony Snell,New Orleans Pelicans,SF,1,0,30,2021,2389641,47,21.1,5.3,1.9,3.6,51.5,1.3,2.3,56.9,0.2,0.2,100,0.4,2,2.4,1.3,0.4,0.3,0.2,1.6,70.8,8.4,-0.4,-1.7,-2.1,-0.1,-0.1,-0.2,-0.4,-1.4,-1.9,0.4
Zion Williamson,New Orleans Pelicans,PF,0,1,21,2022,38860000,61,33.2,27,10.4,17,61.1,0.2,0.6,29.4,6,8.7,69.8,2.7,4.5,7.2,3.7,2.7,0.9,0.6,2.2,64.9,28.7,3.7,-0.8,2.9,2.5,0.1,2.5,3.6,-0.7,3,6
Julius Randle,New York Knicks,PF,1,0,25,2019,20700000,73,30.6,21.4,7.8,14.9,52.4,0.9,2.7,34.4,4.9,6.7,73.1,2.2,6.5,8.7,3.1,2.8,0.7,0.6,3.4,60,27.3,0.5,-2,-1.5,0.7,-1.5,-0.8,0.6,-2,-1.4,1.5
Evan Fournier,New York Knicks,SG,1,0,28,2021,18250000,42,30,17.1,5.9,12.9,45.7,2.8,6.7,41.3,2.6,3.3,78.8,0.2,2.8,3,3.4,1.7,1.1,0.5,2.3,59.8,22.2,1,-0.7,0.3,2.3,-1.4,0.9,1.4,-0.9,0.5,2.1
Derrick Rose,New York Knicks,PG,1,0,33,2021,14520730,50,25.6,14.7,5.7,12.2,47,1,2.6,38.8,2.2,2.5,86.6,0.4,2.2,2.6,4.2,1.6,1,0.4,1.1,55,25.2,2.1,1.8,3.9,0.5,2.9,3.4,1.9,2.1,4,4.4
Alec Burks,New York Knicks,SG,1,0,30,2021,10012800,49,25.6,12.7,4.3,10.2,42,2.1,5,41.5,2.1,2.4,85.6,0.4,4.2,4.6,2.2,1,0.6,0.3,2.1,56.4,20.8,2,-0.1,1.9,-0.6,2.9,2.4,1.6,0.5,2.1,3.1
